1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,label
0,0,0,0,85.76717033,169.8656552,224.3700411,236.5128983,316.4073788,250.2555931,197.2953468,157.6286801,186.7076275,186.7076275,186.7076275,173.9576275,186.7076275,212.2076275,216.4735418,230.6402085,279.9788074,236.5128983,196.0367078,130.1989885,0,0,0,0,0
0,0,0,0,32.9375,70.76717033,118.188223,130.3310801,137.5753983,132.1663074,113.9520217,139.4520217,106.4155844,106.4155844,134.7489177,134.7489177,134.7489177,168.4540613,182.620728,153.6028708,211.6200411,169.8656552,140.6989885,115.1989885,0,0,0,0,0
0,0,0,0,0,0,121.183837,196.0367078,268.3878983,286.6289507,154.8326275,194.7826275,154.306437,154.306437,154.306437,156.2492942,197.3326275,200.1286801,266.8902085,304.8164697,256.2450411,140.6989885,0,0,0,0,0,0,0
0,0,0,38.31390977,83.41807644,118.6323622,130.2232712,136.4176032,128.5009366,112.5634366,118.7452547,126.030969,134.7489177,145.3739177,147.2040613,134.9508145,177.4508145,163.2841479,199.0787907,322.4236126,322.4236126,309.0025599,204.3983933,0,0,0,0,0,0
0,0,0,0,88.2752193,138.2477468,138.2477468,159.4977468,208.179565,268.3878983,253.3878983,253.3878983,237.4503983,220.4503983,202.2361126,217.2361126,197.620728,197.620728,213.558228,230.558228,224.3700411,183.2867078,157.7867078,121.183837,0,0,0,0,0
0,0,0,0,0,0,159.4977468,205.3574306,230.8574306,269.8157639,240.6490972,198.5405446,183.0584017,163.4430171,142.1930171,131.1540561,197.3326275,214.2953468,205.812557,300.0513182,373.4236126,345.8358933,314.8983933,164.6369048,0,0,0,0,0
0,0,0,0,42.5877193,106.489505,118.6323622,133.9011559,112.5634366,129.8322113,98.86792555,124.3679256,115.3775409,133.0858743,111.8358743,143.7108743,122.1920996,135.6131522,164.7798189,186.1264098,292.6736126,243.4950411,215.9073218,107.7614885,0,0,0,0,0
0,0,0,0,0,0,35.21428571,76.07967033,248.1038074,259.1907639,301.6907639,293.0151687,276.0151687,263.0798303,194.7826275,182.6397704,194.7826275,184.5826275,193.7536801,327.4943353,316.4073788,224.3700411,144.3656552,0,0,0,0,0,0
0,0,0,0,47.9375,98.51717033,156.9219892,191.1907639,186.8157639,179.3782639,163.3262589,175.5858743,167.0858743,192.8894457,212.2076275,200.1286801,189.0417236,203.2083903,206.6174812,227.4121241,292.6736126,266.5025599,215.9073218,124.7614885,0,0,0,0,0
0,0,0,0,40.3377193,67.48057644,100.4180764,118.6323622,149.8386559,130.3310801,125.9844892,146.0753983,127.8611126,136.5790613,103.1862041,161.370728,126.0460526,141.0460526,193.4121241,180.6621241,279.9236126,215.9073218,200.9073218,136.0948218,0,0,0,0,0
